,labels,frequency
0,decor,78
1,food,897
2,prices,106
3,tables,97
4,manager,147
5,menu,504
6,peanut butter roll,1
7,classics,1
8,sushi,48
9,service,503
10,brunch,86
11,eggs served with onions,1
12,guy,10
13,server,101
14,appetizers,146
15,dinner,400
16,hostess,113
17,wait,131
18,seat,26
19,waitress,311
20,water,54
21,bartender,48
22,drinks,267
23,course meal,1
24,lunch,141
25,wine,97
26,eat,2
27,entrees,82
28,waitresses,23
29,table,198
30,reservations,76
31,owners,15
32,french bistro fare,1
33,steamed mussels with french fr,1
34,green peppercorn sauce,1
35,scene,54
36,spot,22
37,meal,187
38,succulent salmon fillet,1
39,caramelized onions,1
40,foods,7
41,veggies,3
42,sprouts,1
43,beets,2
44,waiter,503
45,lounge,11
46,seats,14
47,bar,384
48,order,2
49,places,3
50,bill,53
51,waiters,101
52,plates,41
53,dining room,22
54,patio,4
55,mexican,6
56,hamburger,2
57,beef,16
58,host,37
59,waitstaff,48
60,served,53
61,dish,68
62,pork chop,4
63,lamb,11
64,price,125
65,lights,1
66,portions,123
67,coffee,48
68,tea,11
69,cream,8
70,dessert,134
71,chinese chocolat,1
72,seinfeld,2
73,prime dinner,1
74,crowds,9
75,waiting,90
76,desserts,35
77,chocolate cake,3
78,cheesecake,7
79,soft shell crab appetizer,1
80,cod,5
81,place,158
82,atmosphere,128
83,glass of water,10
84,whole table,1
85,chef,58
86,spices,9
87,oil,10
88,dinin room,1
89,location,5
90,sides,16
91,lugers,1
92,bacon,5
93,steak,69
94,priced,15
95,specials,39
96,chicken vindaloo,1
97,cost,13
98,burgers,20
99,secret hickory sauce,1
100,breakfast,16
101,eggs,11
102,selections,2
103,seafood,14
104,wine list,25
105,wait staff,67
106,entree,54
107,baby back ribs,1
108,red  beef chili,1
109,deep  fried onions,1
110,melissa,1
111,pastries,7
112,experience,6
113,bean burritos,1
114,beans,10
115,wines by the glass to,1
116,jerked chicken dinner,1
117,check,30
118,appetizer,73
119,duck,10
120,ingredients,25
121,menus,41
122,baklava,1
123,chocolate mousse cake,1
124,strawberry shortcake,1
125,italian food,5
126,pasta dishes,5
127,shows,2
128,characters,2
129,lobster rolls and poached shri,1
130,crab and roasted red pepper di,1
131,worldly cuisine,1
132,staff,135
133,green curry,1
134,meat,36
135,shoots,1
136,justly  popular lunch buffet,1
137,gelato,1
138,chopped hai  white fish ,1
139,octopus sauteed with ground po,1
140,rabe,1
141,lime juice,1
142,glass of wine,17
143,corn cake,1
144,air,7
145,italian wines,2
146,olive oil,7
147,bread,48
148,sake,4
149,salmon,22
