,labels,frequency
0,snapdragon 801,1
1,ram,3
2,dry texture,1
3,waterproofing of ip67,1
4,back panel,3
5,waterproofing,3
6,battery pack,1
7,spare battery pack,1
8,batteries,3
9,earphone jack,1
10,capless waterproofing,1
11,microusb terminal,1
12,waterproofing performance,1
13,horizontal screen mode,1
14,watch,1
15,tv,1
16,schedule,1
17,gallery,4
18,size,4
19,display,10
20,viewing angle,2
21,color development,2
22,settings screen,1
23,fingerprint authentication sen,1
24,home button,9
25,sensor,2
26,screen lock,1
27,privacy,1
28,lower part of camera,1
29,heart rate monitor,18
30,camera,19
31,lock screen,2
32,speed of focus,1
33,image stabilization,1
34,photography,1
35,hover function,1
36,multi  window display,1
37,app,6
38,simultaneous process,1
39,youtube,1
40,map,1
41,browser,1
42,google chrome,2
43,home screen,4
44,animation,1
45,app  magazine ,1
46,settings of home screen,1
47,magazine,1
48,app drawer,1
49,menu button,1
50,notification panel,1
51,icon,1
52,mobile operator s app,1
53,google s app,1
54,samsung s app,1
55,toggle switch on the notificat,1
56,icons,3
57,toolbox,3
58,one hand mode,2
59,screen,9
60,battery duration time,1
61,battery,12
62,exchangeable battery pack,1
63,ultra saving mode,3
64,monochrome screen,1
65,battery power consumption,1
66,fingerprint scanners,1
67,set up,2
68,use,2
69,samsung account,1
70,paypal payments,1
71,security,2
72,finger reading,1
73,s health,4
74,camera lens,1
75,features,5
76,pedometer,3
77,graphs,1
78,trackers,1
79,water and dust resistant to ip,1
80,51inch full hd display,1
81,design,10
82,covered usb port,1
83,sliver plastic bezel,1
84,edges,1
85,shape,1
86,dimensions,2
87,rear cover,1
88,dimple motif,1
89,plastic material,1
90,android kitkat,1
91,os,2
92,organisation,1
93,firm s ui,1
94,my magazine,5
95,settings menu,2
96,menu,2
97,feature,12
98,download booster,3
99,wi  fi,2
100,4 g,3
101,option,1
102,25 ghz quad  core processor,1
103,multitasking,1
104,performance,8
105,2800mah battery,1
106,stamina,1
107,full charge,1
108,heavy gaming,1
109,streaming,1
110,charge,1
111,power saving mode,2
112,speed,2
113,16 megapixel sensor,1
114,selective focus,1
115,modes,1
116,action shot,1
117,eraser,1
118,3d image,1
119,virtual tour shot,1
120,4k video capture,1
121,1080p screen,1
122,video in 1080p at 60 fps,1
123,key aspects,1
124,material,1
125,back,9
126,soft  touch matte finish,1
127,little dimples on the back,1
128,material on the back,1
129,back of the phone,1
130,grip and hold,1
131,little dimples,1
132,traction,1
133,soft  touch matte finish on th,1
134,design of the back,1
135,fake metal ring,1
136,tapered edges,1
137,559 inches tall,1
138,285 inches wide,1
139,032inch thick,1
140,hardware,1
141,fingerprint scanner,12
142,capacitive multi tasking,1
143,back keys,1
144,full 1080p super amoled hd dis,1
145,1920x1080 resolution screen,1
146,pixel density of 432 pixels pe,1
147,displays,3
148,images,2
149,contrast,1
150,photos,5
151,videos,2
152,reducing glare,1
153,external controls,1
154,power,2
155,right,1
156,volume buttons,1
157,left,1
158,35 millimeter headphone jack,1
159,up top,1
160,ir blaster,4
161,camera s led flash,1
162,usb 30 charging port,1
163,flap door,1
164,ip67 certification for water a,1
165,lithium  ion battery,1
166,user interface,1
167,android 44 kitkat,1
168,touchwiz customizations,1
169,touchwiz,5
170,look and feel,1
171,pre  loaded samsung apps,1
172,sprint pre  installed stuff,1
173,interface,1
174,magazine screen,2
175,flipboard style magazine,1
176,sorting options,1
177,multi  tasking capability,1
178,apps,3
179,productivity,1
180,25 ghz qualcomm snapdragon 801,1
181,adreno 330 graphics,1
182,cameras,1
183,16 megapixel camera,3
184,auto focus,1
185,led flash,2
186,front facing camera,1
187,2 megapixel camera,1
188,colors,3
189,4k ultra hd video recording ca,1
190,settings,4
191,camera app,1
192,edits and quick adjustments to,1
193,taking pictures,1
194,shooting pictures,1
195,pictures,1
196,battery life,4
197,2800 mill ampere battery,1
198,gps,2
199,gaming,3
200,internet browsing,1
201,s health app,1
202,hardware and software addition,1
203,heart  rate monitor,1
204,processor,2
205,plastic materials,1
206,nickel details,1
207,outline,1
208,body,1
209,back side texture,2
210,velvet and leather feeling,1
211,build quality,1
212,height,1
213,width,1
214,thickness,1
215,weight,1
216,front side,2
217,calls speaker,1
218,screen sensors,1
219,2mp camera,1
220,1080p 30fps video recording,1
221,fingerprint scanning capabilit,1
222,function buttons,1
223,bottom side,1
224,micro  usb port,1
225,microphone,3
226,volume button,1
227,left side,2
228,power button,2
229,right side,1
230,headphones port,1
231,noise cancellation microphone,1
232,top side,1
233,back side,2
234,16mp camera,1
235,main speaker,1
236,bass and volume levels,1
237,back flexible cover,1
238,sim card slot,2
239,microsd slot,1
240,ip67 certification,1
241,back cover,4
242,micro usb port,1
243,cap,1
244,technical specifications,2
245,snapdragon 801 chipset,1
246,krait 400 quad  core cpu clock,1
247,adreno 330 gpu,1
248,storage,1
249,2800 mah li  po battery,1
250,full brightness levels,1
251,cellular data,1
252,3g4 g lte networks,1
253,fingerprint sensor,1
254,quick transactions,1
255,android 442,1
256,magazine ui,1
257,s voice,1
258,gestures,1
259,emergency mode,1
260,baby cry recognition,1
261, my magazine  app,1
262,battery consumption,1
263,brightness,1
264,viewing angles,2
265,2k display,1
266,1080p amoled display,1
267,bsi sensor,1
268,photo capturing,1
269,resolution of 5312 x 2988 pixe,1
270,4k video,2
271,1080p video at 60fps,1
272,720p video at 120fps,1
273,pricing,1
274,experience,2
275,price,1
276,51 inch display,1
277,headphone jack,2
278,infrared blaster,1
279,side,2
280,lock button,1
281,bottom,1
282,speaker,1
283,lightning port,1
284,usb 30 charging and sync port,1
285,volume controls,1
286,mobile payments,1
287,pay pal,1
288,4k videos at 30 frames per sec,1
289,heart rate sensor,1
290,front facing cameras,1
291,sensors,1
292,back plate,2
293,wireless charging,2
294,wireless charging pad,1
295,pad,1
296,spec,1
297,flip side,1
298,base,2
299,usb 30 port,1
300,removable back cover,1
301,dotted pattern,1
302,sides,1
303,front,1
304,colours,8
305,right hand side,1
306,new  look micro usb 30 port,1
307,port,1
308,flap,1
309,water and dust resistant,1
310,left hand side,3
311,volume rocker,1
312,top,1
313,35 mm headphone jack,1
314,16mp isocell camera,1
315,sound,1
316,speakers,1
317,blacks,3
318,menus,1
319,brightness control,2
320,screen mode,1
321,adapt display,2
322,dynamic,1
323,standard,1
324,professional photo,1
325,cinema,1
326,application,2
327,google play books,1
328,tapering colours,1
329,amoleds,1
330,amoled,1
331,ui,7
332,games,1
333,whites,1
334,white balance control,1
335,touchwiz magazine ui,1
336,android 422,1
337,android,2
338,home screens,3
339,default widgets,1
340,widget,1
341,weather and clock widget,1
342,google s search widget,1
343,google s search,1
344,voice commands,1
345,app shortcuts,1
346,email,1
347,play store,1
348,google apps folder,1
349,folders,4
350,second home screen,1
351,widget for s health and geo ne,1
352,health  related features,1
353,speedometer,1
354,geo news,2
355,function,1
356,hyperlocal news,1
357,widgets,2
358,app icons,1
359,kids mode,3
360,third home screen,1
361,galaxy essentials,2
362,galaxy gifts,2
363,samsung apps,1
364,promotional offers,1
365,music streaming,1
366,amazon kindle books,1
367,samsung s my magazine,1
368,flipboard,2
369,facebook integration,1
370,google,2
371,twitter,2
372,newsreader,1
373,newsreaders,1
374,google play store,1
375,notifications,1
376,brightness toggles,1
377,s finder,2
378,quick connect,4
379,quick toggles,1
380,bluetooth,2
381,wifi direct,1
382,bluetooth headset,1
383,bluetooth menu,1
384,quick toggle menu,1
385,download speeds,1
386,wifi connectivity,1
387,data network speed,1
388,3 g,1
389,speed boost,1
390,facebook s chat heads,1
391,quick shortcuts to a plethora ,1
392,facebook,2
393,design of the magazine ux,1
394,secure payments through the pa,1
395,calories burned indicator,1
396,exercise,1
397,heart rate,2
398,options,2
399,coach option,1
400,camera shortcut,1
401,taking a picture,1
402,focusing,1
403,shot,1
404,post  processing,1
405,picture,1
406,manual controls,1
407,camera ui,1
408,front  facing camera,1
409,background defocus,2
410,hdr,1
411,camera flash,1
412,toggle button,1
413,toggle,1
414,shooting modes,2
415,app store,1
416,automatic mode,1
417,picture quality,1
418,flash,3
419,video,3
420,formats,1
421,multiple speeds,1
422,slow  motion,2
423,fast  motion,1
424,smooth motion,1
425,speeds,1
426,slower speeds,1
427,multimedia,1
428,apps like netflix,1
429,movies,1
430,placement of the speaker,1
431,headphones,1
