,id,text,labels
0,79,this computer is absolutely amazing ! time of battery. super fast processor and really nice graphics card. and plenty of storage with cardinal (  i will upgrade this and the ram. ) this computer is really fast and i am shocked as to how easy it is to get used to. i have only had mine date but i am already used to it. get this computer for precise and fast processing ! ,"[1, 1, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
1,10,the laptop was really good and it goes really fast just the way i thought it would of run. i would really recommend to any person out there to get this laptop because its really worth it. and its really cheap and you will not regret buying it. ,"[1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
2,73821_30,room was acceptable the room was nice and the furnishings were comfortable. the food from the restaurant was very good but poor which was the standard for everything in this hotel. the internet access from the room was  dollar money for a time period. to check in for my flight using the business center cost me  dollar money which included time use of the internet and printing cardinal pages for my boarding pass. staff was very pleasant and helpful. ,"[-2, -2, -2, -2, -2, 2, 2, -1, -1, -1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
3,73821_3,"great stay ! what a wonderful choice. check in was fast and furious. rooms were clean ,  spacious and comfortable. food was outstanding ,  for both the conference and on my own. pool was refreshing on date. overall for the price of this hotel it cannot be beat ! i will definitely stay here again conference or not. ","[-2, -2, -2, -2, -2, 1, 1, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
4,73821_26,"good business hotel very nice hotel for business travelers - very few kids. great rooms with very comfortable beds. big pool area ,  very good fitness center - nice lobby and common areas. i had excellent shuttle service. the sports bar had good food with very reasonable prices. the only change was a per minute charge to use the business center computers. ","[-2, -2, -2, -2, -2, 1, 1, 1, -2, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
5,73821_21,"perfectly close to the airport i booked this because of it is proximity to the airport for our departure. the staff was friendly and helpful ,  they upgraded our room to queen beds without us asking. the rooms are lovely ,  and the hotel is quiet even though it is so close to the airport. the time shuttle to the airport is very ,  very convenient and gets you there in time. we ate at your terminal the restaurant and the food was good here and the best and i have ever product all in all you cannot beat the deal ,  the location ,  the clean rooms ,  and the service. ","[-2, -2, -2, -2, -2, 1, 1, 1, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
6,73821_2,"a great hotel our stay at your terminal this hotel was wonderful. the staff was very nervous upon check-in. our room was perfectly clean. ( i had to use an outlet behind the door ,  and expected to see some type of dirt when i pulled the bed out ,  but to my surprise ,  not even dust !  ) very clean and well maintained. some nice touches of southwest decor here and there. no problems whatsoever ,  and i would recommend this hotel to anybody. ","[-2, -2, -2, -2, -2, 1, -2, 1, -2, -2, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
7,73739_13,good service but rude desk clerk she immediately began to yell that if i wanted an upgrade i would have to pay for it. the same desk clerk started to yell again stating that she had told me when i called that i could upgrade for a charge and that was her rules. she completely ignored me and just kept on yelling. i asked to speak to the manager and she told me she was the manager when in fact the manager' name was clearly displayed on the wall. this incident was very humiliating as other guests were present. i am writing this review because this kind of behavior was totally unacceptable and hopefully no other guests will be treated in this manner. overall service was great and the staff as a whole were very alert and helpful. ,"[-2, -2, -2, -2, -2, -2, -2, -2, -2, -2, 2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
8,73727_9,"not bad for time front desk staff were friendly and helpful both with early check-in and an early check-out. room was large and spacious ,  but rather bland. excellent for a business traveler ,  or for a driver with early departure to org ,  took time to get to the airport via cardinal freeway. ideal location. very affordable rate at your terminal low  dollar rate. the pool looked nice ,  as did their restaurant ,  but did not try either one. ","[-2, -2, -2, -2, -2, 2, -2, 2, -2, 1, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
9,73727_15,"well below average unfortunately ,  this is below average. rooms are large but very plain ,  with furnishings and fixtures as cheap as possible. the hotel shows its age and badly needs renovation. bathroom sink was on a slight slant because it was pulling out of the wall. nothing is especially terrible or unacceptable about this hotel. it is just that. ","[-2, -2, -2, -2, -2, 2, -2, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
10,73727_13,"do not do it ! this place is run down ,  dirty and loud. the pictures they provide on the web do not tell the story so do not be fooled. ","[-2, -2, -2, -2, -2, -2, -2, -1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
11,73718_2,"great restaurant this property has really improved since our last stay. room was cool ,  clean and clean. the restaurant downstairs is the best kept secret in the area ! org was outstanding ( try the seafood price ) . staff was competent and efficient. ","[-2, -2, -2, -2, -2, 1, 1, 1, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
12,73727_17,"i keep on coming back ! i have been going to this place date and i keep on coming back to this hotel. the breakfast is excellent ! it is rare that hotels in this class serve hot meals ,  yet they do ! org is fit for a king. plus ,  the staff at your terminal the front desk are always polite and friendly. though the bathrooms are a bit old ,  the beds are still cozy. and the hotel is right in the middle of everywhere. ","[-2, -2, -2, -2, -2, 2, 1, 1, -2, -2, 1, 1, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
